SYMBOL_NAME,Time,ASK_PRICE,ASK_SIZE,BID_PRICE,BID_SIZE
MILLBURN::::CL.NY.J.2025,2025-03-02T20:16:00.000000000-0500,70.44,4,70.43,3
MILLBURN::::CL.NY.J.2025,2025-03-02T20:17:00.000000000-0500,70.44,3,70.43,6
MILLBURN::::CL.NY.J.2025,2025-03-02T20:18:00.000000000-0500,70.46,9,70.45,5
MILLBURN::::CL.NY.J.2025,2025-03-02T20:19:00.000000000-0500,70.49,8,70.48,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:20:00.000000000-0500,70.5,26,70.49,13
MILLBURN::::CL.NY.J.2025,2025-03-02T20:21:00.000000000-0500,70.52,39,70.51,1
MILLBURN::::CL.NY.J.2025,2025-03-02T20:22:00.000000000-0500,70.52,3,70.51,13
MILLBURN::::CL.NY.J.2025,2025-03-02T20:23:00.000000000-0500,70.5,6,70.49,3
MILLBURN::::CL.NY.J.2025,2025-03-02T20:24:00.000000000-0500,70.51,2,70.5,12
MILLBURN::::CL.NY.J.2025,2025-03-02T20:25:00.000000000-0500,70.51,8,70.5,12
MILLBURN::::CL.NY.J.2025,2025-03-02T20:26:00.000000000-0500,70.51,8,70.5,2
MILLBURN::::CL.NY.J.2025,2025-03-02T20:27:00.000000000-0500,70.51,5,70.5,5
MILLBURN::::CL.NY.J.2025,2025-03-02T20:28:00.000000000-0500,70.53,7,70.52,8
MILLBURN::::CL.NY.J.2025,2025-03-02T20:29:00.000000000-0500,70.5,8,70.49,5
MILLBURN::::CL.NY.J.2025,2025-03-02T20:30:00.000000000-0500,70.5,8,70.49,2
MILLBURN::::CL.NY.J.2025,2025-03-02T20:31:00.000000000-0500,70.5,4,70.49,11
MILLBURN::::CL.NY.J.2025,2025-03-02T20:32:00.000000000-0500,70.48,6,70.47,6
MILLBURN::::CL.NY.J.2025,2025-03-02T20:33:00.000000000-0500,70.51,8,70.5,1
MILLBURN::::CL.NY.J.2025,2025-03-02T20:34:00.000000000-0500,70.49,2,70.48,5
MILLBURN::::CL.NY.J.2025,2025-03-02T20:35:00.000000000-0500,70.5,12,70.48,11
MILLBURN::::CL.NY.J.2025,2025-03-02T20:36:00.000000000-0500,70.5,15,70.48,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:37:00.000000000-0500,70.5,10,70.49,8
MILLBURN::::CL.NY.J.2025,2025-03-02T20:38:00.000000000-0500,70.47,15,70.46,3
MILLBURN::::CL.NY.J.2025,2025-03-02T20:39:00.000000000-0500,70.49,2,70.48,8
MILLBURN::::CL.NY.J.2025,2025-03-02T20:40:00.000000000-0500,70.48,13,70.46,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:41:00.000000000-0500,70.47,11,70.46,3
MILLBURN::::CL.NY.J.2025,2025-03-02T20:42:00.000000000-0500,70.46,2,70.45,12
MILLBURN::::CL.NY.J.2025,2025-03-02T20:43:00.000000000-0500,70.46,5,70.45,4
MILLBURN::::CL.NY.J.2025,2025-03-02T20:44:00.000000000-0500,70.43,9,70.42,2
MILLBURN::::CL.NY.J.2025,2025-03-02T20:45:00.000000000-0500,70.41,11,70.4,3
MILLBURN::::CL.NY.J.2025,2025-03-02T20:46:00.000000000-0500,70.44,15,70.43,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:47:00.000000000-0500,70.44,11,70.43,7
MILLBURN::::CL.NY.J.2025,2025-03-02T20:48:00.000000000-0500,70.47,4,70.46,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:49:00.000000000-0500,70.47,9,70.45,15
MILLBURN::::CL.NY.J.2025,2025-03-02T20:50:00.000000000-0500,70.48,19,70.47,5
MILLBURN::::CL.NY.J.2025,2025-03-02T20:51:00.000000000-0500,70.47,4,70.46,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:52:00.000000000-0500,70.49,15,70.48,7
MILLBURN::::CL.NY.J.2025,2025-03-02T20:53:00.000000000-0500,70.5,11,70.49,7
MILLBURN::::CL.NY.J.2025,2025-03-02T20:54:00.000000000-0500,70.49,12,70.48,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:55:00.000000000-0500,70.5,11,70.49,9
MILLBURN::::CL.NY.J.2025,2025-03-02T20:56:00.000000000-0500,70.5,20,70.48,12
MILLBURN::::CL.NY.J.2025,2025-03-02T20:57:00.000000000-0500,70.51,26,70.5,4
